db_id,train_example
olympics,"Based on the database schema below and the question, create a SQL query that will return the desired result:
DATABASE SCHEMA
---------------------
CREATE TABLE city (
id integer,
city_name text,
PRIMARY KEY (id),
);
CREATE TABLE games (
id integer,
games_year integer,
games_name text,
season text,
PRIMARY KEY (id),
);
CREATE TABLE games_city (
games_id integer,
city_id integer,
FOREIGN KEY (games_id) REFERENCES games(id),
FOREIGN KEY (city_id) REFERENCES city(id),
);
CREATE TABLE medal (
id integer,
medal_name text,
PRIMARY KEY (id),
);
CREATE TABLE noc_region (
id integer,
noc text,
region_name text,
PRIMARY KEY (id),
);
CREATE TABLE person (
id integer,
full_name text,
gender text,
height integer,
weight integer,
PRIMARY KEY (id),
);
CREATE TABLE games_competitor (
id integer,
games_id integer,
person_id integer,
age integer,
PRIMARY KEY (id),
FOREIGN KEY (games_id) REFERENCES games(id),
FOREIGN KEY (person_id) REFERENCES person(id),
);
CREATE TABLE person_region (
person_id integer,
region_id integer,
FOREIGN KEY (person_id) REFERENCES person(id),
FOREIGN KEY (region_id) REFERENCES noc_region(id),
);
CREATE TABLE sport (
id integer,
sport_name text,
PRIMARY KEY (id),
);
CREATE TABLE event (
id integer,
sport_id integer,
event_name text,
PRIMARY KEY (id),
FOREIGN KEY (sport_id) REFERENCES sport(id),
);
CREATE TABLE competitor_event (
event_id integer,
competitor_id integer,
medal_id integer,
FOREIGN KEY (event_id) REFERENCES event(id),
FOREIGN KEY (competitor_id) REFERENCES games_competitor(id),
FOREIGN KEY (medal_id) REFERENCES medal(id),
);
---------------------
QUESTION: State the name of sport id 19. name of sport refers to sport_name"
olympics,"Based on the database schema below and the question, create a SQL query that will return the desired result:
DATABASE SCHEMA
---------------------
CREATE TABLE city (
id integer,
city_name text,
PRIMARY KEY (id),
);
CREATE TABLE games (
id integer,
games_year integer,
games_name text,
season text,
PRIMARY KEY (id),
);
CREATE TABLE games_city (
games_id integer,
city_id integer,
FOREIGN KEY (games_id) REFERENCES games(id),
FOREIGN KEY (city_id) REFERENCES city(id),
);
CREATE TABLE medal (
id integer,
medal_name text,
PRIMARY KEY (id),
);
CREATE TABLE noc_region (
id integer,
noc text,
region_name text,
PRIMARY KEY (id),
);
CREATE TABLE person (
id integer,
full_name text,
gender text,
height integer,
weight integer,
PRIMARY KEY (id),
);
CREATE TABLE games_competitor (
id integer,
games_id integer,
person_id integer,
age integer,
PRIMARY KEY (id),
FOREIGN KEY (games_id) REFERENCES games(id),
FOREIGN KEY (person_id) REFERENCES person(id),
);
CREATE TABLE person_region (
person_id integer,
region_id integer,
FOREIGN KEY (person_id) REFERENCES person(id),
FOREIGN KEY (region_id) REFERENCES noc_region(id),
);
CREATE TABLE sport (
id integer,
sport_name text,
PRIMARY KEY (id),
);
CREATE TABLE event (
id integer,
sport_id integer,
event_name text,
PRIMARY KEY (id),
FOREIGN KEY (sport_id) REFERENCES sport(id),
);
CREATE TABLE competitor_event (
event_id integer,
competitor_id integer,
medal_id integer,
FOREIGN KEY (event_id) REFERENCES event(id),
FOREIGN KEY (competitor_id) REFERENCES games_competitor(id),
FOREIGN KEY (medal_id) REFERENCES medal(id),
);
---------------------
QUESTION: Give the id of the event ""Shooting Mixed Skeet"". ""Shooting Mixed Skeet"" refers to event_name = 'Shooting Mixed Skeet';"
olympics,"Based on the database schema below and the question, create a SQL query that will return the desired result:
DATABASE SCHEMA
---------------------
CREATE TABLE city (
id integer,
city_name text,
PRIMARY KEY (id),
);
CREATE TABLE games (
id integer,
games_year integer,
games_name text,
season text,
PRIMARY KEY (id),
);
CREATE TABLE games_city (
games_id integer,
city_id integer,
FOREIGN KEY (games_id) REFERENCES games(id),
FOREIGN KEY (city_id) REFERENCES city(id),
);
CREATE TABLE medal (
id integer,
medal_name text,
PRIMARY KEY (id),
);
CREATE TABLE noc_region (
id integer,
noc text,
region_name text,
PRIMARY KEY (id),
);
CREATE TABLE person (
id integer,
full_name text,
gender text,
height integer,
weight integer,
PRIMARY KEY (id),
);
CREATE TABLE games_competitor (
id integer,
games_id integer,
person_id integer,
age integer,
PRIMARY KEY (id),
FOREIGN KEY (games_id) REFERENCES games(id),
FOREIGN KEY (person_id) REFERENCES person(id),
);
CREATE TABLE person_region (
person_id integer,
region_id integer,
FOREIGN KEY (person_id) REFERENCES person(id),
FOREIGN KEY (region_id) REFERENCES noc_region(id),
);
CREATE TABLE sport (
id integer,
sport_name text,
PRIMARY KEY (id),
);
CREATE TABLE event (
id integer,
sport_id integer,
event_name text,
PRIMARY KEY (id),
FOREIGN KEY (sport_id) REFERENCES sport(id),
);
CREATE TABLE competitor_event (
event_id integer,
competitor_id integer,
medal_id integer,
FOREIGN KEY (event_id) REFERENCES event(id),
FOREIGN KEY (competitor_id) REFERENCES games_competitor(id),
FOREIGN KEY (medal_id) REFERENCES medal(id),
);
---------------------
QUESTION: Provide hockey's sport id. hockey's sport refers to sport_name = 'hockey';"
olympics,"Based on the database schema below and the question, create a SQL query that will return the desired result:
DATABASE SCHEMA
---------------------
CREATE TABLE city (
id integer,
city_name text,
PRIMARY KEY (id),
);
CREATE TABLE games (
id integer,
games_year integer,
games_name text,
season text,
PRIMARY KEY (id),
);
CREATE TABLE games_city (
games_id integer,
city_id integer,
FOREIGN KEY (games_id) REFERENCES games(id),
FOREIGN KEY (city_id) REFERENCES city(id),
);
CREATE TABLE medal (
id integer,
medal_name text,
PRIMARY KEY (id),
);
CREATE TABLE noc_region (
id integer,
noc text,
region_name text,
PRIMARY KEY (id),
);
CREATE TABLE person (
id integer,
full_name text,
gender text,
height integer,
weight integer,
PRIMARY KEY (id),
);
CREATE TABLE games_competitor (
id integer,
games_id integer,
person_id integer,
age integer,
PRIMARY KEY (id),
FOREIGN KEY (games_id) REFERENCES games(id),
FOREIGN KEY (person_id) REFERENCES person(id),
);
CREATE TABLE person_region (
person_id integer,
region_id integer,
FOREIGN KEY (person_id) REFERENCES person(id),
FOREIGN KEY (region_id) REFERENCES noc_region(id),
);
CREATE TABLE sport (
id integer,
sport_name text,
PRIMARY KEY (id),
);
CREATE TABLE event (
id integer,
sport_id integer,
event_name text,
PRIMARY KEY (id),
FOREIGN KEY (sport_id) REFERENCES sport(id),
);
CREATE TABLE competitor_event (
event_id integer,
competitor_id integer,
medal_id integer,
FOREIGN KEY (event_id) REFERENCES event(id),
FOREIGN KEY (competitor_id) REFERENCES games_competitor(id),
FOREIGN KEY (medal_id) REFERENCES medal(id),
);
---------------------
QUESTION: Tell the weight of Dagfinn Sverre Aarskog."
olympics,"Based on the database schema below and the question, create a SQL query that will return the desired result:
DATABASE SCHEMA
---------------------
CREATE TABLE city (
id integer,
city_name text,
PRIMARY KEY (id),
);
CREATE TABLE games (
id integer,
games_year integer,
games_name text,
season text,
PRIMARY KEY (id),
);
CREATE TABLE games_city (
games_id integer,
city_id integer,
FOREIGN KEY (games_id) REFERENCES games(id),
FOREIGN KEY (city_id) REFERENCES city(id),
);
CREATE TABLE medal (
id integer,
medal_name text,
PRIMARY KEY (id),
);
CREATE TABLE noc_region (
id integer,
noc text,
region_name text,
PRIMARY KEY (id),
);
CREATE TABLE person (
id integer,
full_name text,
gender text,
height integer,
weight integer,
PRIMARY KEY (id),
);
CREATE TABLE games_competitor (
id integer,
games_id integer,
person_id integer,
age integer,
PRIMARY KEY (id),
FOREIGN KEY (games_id) REFERENCES games(id),
FOREIGN KEY (person_id) REFERENCES person(id),
);
CREATE TABLE person_region (
person_id integer,
region_id integer,
FOREIGN KEY (person_id) REFERENCES person(id),
FOREIGN KEY (region_id) REFERENCES noc_region(id),
);
CREATE TABLE sport (
id integer,
sport_name text,
PRIMARY KEY (id),
);
CREATE TABLE event (
id integer,
sport_id integer,
event_name text,
PRIMARY KEY (id),
FOREIGN KEY (sport_id) REFERENCES sport(id),
);
CREATE TABLE competitor_event (
event_id integer,
competitor_id integer,
medal_id integer,
FOREIGN KEY (event_id) REFERENCES event(id),
FOREIGN KEY (competitor_id) REFERENCES games_competitor(id),
FOREIGN KEY (medal_id) REFERENCES medal(id),
);
---------------------
QUESTION: What is the id of Rio de Janeiro? Rio de Janeiro refers to city_name = 'Rio de Janeiro';"
olympics,"Based on the database schema below and the question, create a SQL query that will return the desired result:
DATABASE SCHEMA
---------------------
CREATE TABLE city (
id integer,
city_name text,
PRIMARY KEY (id),
);
CREATE TABLE games (
id integer,
games_year integer,
games_name text,
season text,
PRIMARY KEY (id),
);
CREATE TABLE games_city (
games_id integer,
city_id integer,
FOREIGN KEY (games_id) REFERENCES games(id),
FOREIGN KEY (city_id) REFERENCES city(id),
);
CREATE TABLE medal (
id integer,
medal_name text,
PRIMARY KEY (id),
);
CREATE TABLE noc_region (
id integer,
noc text,
region_name text,
PRIMARY KEY (id),
);
CREATE TABLE person (
id integer,
full_name text,
gender text,
height integer,
weight integer,
PRIMARY KEY (id),
);
CREATE TABLE games_competitor (
id integer,
games_id integer,
person_id integer,
age integer,
PRIMARY KEY (id),
FOREIGN KEY (games_id) REFERENCES games(id),
FOREIGN KEY (person_id) REFERENCES person(id),
);
CREATE TABLE person_region (
person_id integer,
region_id integer,
FOREIGN KEY (person_id) REFERENCES person(id),
FOREIGN KEY (region_id) REFERENCES noc_region(id),
);
CREATE TABLE sport (
id integer,
sport_name text,
PRIMARY KEY (id),
);
CREATE TABLE event (
id integer,
sport_id integer,
event_name text,
PRIMARY KEY (id),
FOREIGN KEY (sport_id) REFERENCES sport(id),
);
CREATE TABLE competitor_event (
event_id integer,
competitor_id integer,
medal_id integer,
FOREIGN KEY (event_id) REFERENCES event(id),
FOREIGN KEY (competitor_id) REFERENCES games_competitor(id),
FOREIGN KEY (medal_id) REFERENCES medal(id),
);
---------------------
QUESTION: How many people have won the gold medal of the event ""Rowing Women's Coxed Eights""? won the gold medal refers to medal_name = 'Gold'; event ""Rowing Women's Coxed Eights"" refers to event_name = 'Rowing Women''s Coxed Eights';"
olympics,"Based on the database schema below and the question, create a SQL query that will return the desired result:
DATABASE SCHEMA
---------------------
CREATE TABLE city (
id integer,
city_name text,
PRIMARY KEY (id),
);
CREATE TABLE games (
id integer,
games_year integer,
games_name text,
season text,
PRIMARY KEY (id),
);
CREATE TABLE games_city (
games_id integer,
city_id integer,
FOREIGN KEY (games_id) REFERENCES games(id),
FOREIGN KEY (city_id) REFERENCES city(id),
);
CREATE TABLE medal (
id integer,
medal_name text,
PRIMARY KEY (id),
);
CREATE TABLE noc_region (
id integer,
noc text,
region_name text,
PRIMARY KEY (id),
);
CREATE TABLE person (
id integer,
full_name text,
gender text,
height integer,
weight integer,
PRIMARY KEY (id),
);
CREATE TABLE games_competitor (
id integer,
games_id integer,
person_id integer,
age integer,
PRIMARY KEY (id),
FOREIGN KEY (games_id) REFERENCES games(id),
FOREIGN KEY (person_id) REFERENCES person(id),
);
CREATE TABLE person_region (
person_id integer,
region_id integer,
FOREIGN KEY (person_id) REFERENCES person(id),
FOREIGN KEY (region_id) REFERENCES noc_region(id),
);
CREATE TABLE sport (
id integer,
sport_name text,
PRIMARY KEY (id),
);
CREATE TABLE event (
id integer,
sport_id integer,
event_name text,
PRIMARY KEY (id),
FOREIGN KEY (sport_id) REFERENCES sport(id),
);
CREATE TABLE competitor_event (
event_id integer,
competitor_id integer,
medal_id integer,
FOREIGN KEY (event_id) REFERENCES event(id),
FOREIGN KEY (competitor_id) REFERENCES games_competitor(id),
FOREIGN KEY (medal_id) REFERENCES medal(id),
);
---------------------
QUESTION: How many kinds of events belong to the sport of cycling? kinds of events refer to event_name; sport of cycling refers to sport_name = 'Cycling';"
olympics,"Based on the database schema below and the question, create a SQL query that will return the desired result:
DATABASE SCHEMA
---------------------
CREATE TABLE city (
id integer,
city_name text,
PRIMARY KEY (id),
);
CREATE TABLE games (
id integer,
games_year integer,
games_name text,
season text,
PRIMARY KEY (id),
);
CREATE TABLE games_city (
games_id integer,
city_id integer,
FOREIGN KEY (games_id) REFERENCES games(id),
FOREIGN KEY (city_id) REFERENCES city(id),
);
CREATE TABLE medal (
id integer,
medal_name text,
PRIMARY KEY (id),
);
CREATE TABLE noc_region (
id integer,
noc text,
region_name text,
PRIMARY KEY (id),
);
CREATE TABLE person (
id integer,
full_name text,
gender text,
height integer,
weight integer,
PRIMARY KEY (id),
);
CREATE TABLE games_competitor (
id integer,
games_id integer,
person_id integer,
age integer,
PRIMARY KEY (id),
FOREIGN KEY (games_id) REFERENCES games(id),
FOREIGN KEY (person_id) REFERENCES person(id),
);
CREATE TABLE person_region (
person_id integer,
region_id integer,
FOREIGN KEY (person_id) REFERENCES person(id),
FOREIGN KEY (region_id) REFERENCES noc_region(id),
);
CREATE TABLE sport (
id integer,
sport_name text,
PRIMARY KEY (id),
);
CREATE TABLE event (
id integer,
sport_id integer,
event_name text,
PRIMARY KEY (id),
FOREIGN KEY (sport_id) REFERENCES sport(id),
);
CREATE TABLE competitor_event (
event_id integer,
competitor_id integer,
medal_id integer,
FOREIGN KEY (event_id) REFERENCES event(id),
FOREIGN KEY (competitor_id) REFERENCES games_competitor(id),
FOREIGN KEY (medal_id) REFERENCES medal(id),
);
---------------------
QUESTION: What is Vijay Singh Chauhan's region name?"
olympics,"Based on the database schema below and the question, create a SQL query that will return the desired result:
DATABASE SCHEMA
---------------------
CREATE TABLE city (
id integer,
city_name text,
PRIMARY KEY (id),
);
CREATE TABLE games (
id integer,
games_year integer,
games_name text,
season text,
PRIMARY KEY (id),
);
CREATE TABLE games_city (
games_id integer,
city_id integer,
FOREIGN KEY (games_id) REFERENCES games(id),
FOREIGN KEY (city_id) REFERENCES city(id),
);
CREATE TABLE medal (
id integer,
medal_name text,
PRIMARY KEY (id),
);
CREATE TABLE noc_region (
id integer,
noc text,
region_name text,
PRIMARY KEY (id),
);
CREATE TABLE person (
id integer,
full_name text,
gender text,
height integer,
weight integer,
PRIMARY KEY (id),
);
CREATE TABLE games_competitor (
id integer,
games_id integer,
person_id integer,
age integer,
PRIMARY KEY (id),
FOREIGN KEY (games_id) REFERENCES games(id),
FOREIGN KEY (person_id) REFERENCES person(id),
);
CREATE TABLE person_region (
person_id integer,
region_id integer,
FOREIGN KEY (person_id) REFERENCES person(id),
FOREIGN KEY (region_id) REFERENCES noc_region(id),
);
CREATE TABLE sport (
id integer,
sport_name text,
PRIMARY KEY (id),
);
CREATE TABLE event (
id integer,
sport_id integer,
event_name text,
PRIMARY KEY (id),
FOREIGN KEY (sport_id) REFERENCES sport(id),
);
CREATE TABLE competitor_event (
event_id integer,
competitor_id integer,
medal_id integer,
FOREIGN KEY (event_id) REFERENCES event(id),
FOREIGN KEY (competitor_id) REFERENCES games_competitor(id),
FOREIGN KEY (medal_id) REFERENCES medal(id),
);
---------------------
QUESTION: When did Roma host the Olympic Games? Roma refers to city_name = 'Roma'; When host refers to games_year;"
olympics,"Based on the database schema below and the question, create a SQL query that will return the desired result:
DATABASE SCHEMA
---------------------
CREATE TABLE city (
id integer,
city_name text,
PRIMARY KEY (id),
);
CREATE TABLE games (
id integer,
games_year integer,
games_name text,
season text,
PRIMARY KEY (id),
);
CREATE TABLE games_city (
games_id integer,
city_id integer,
FOREIGN KEY (games_id) REFERENCES games(id),
FOREIGN KEY (city_id) REFERENCES city(id),
);
CREATE TABLE medal (
id integer,
medal_name text,
PRIMARY KEY (id),
);
CREATE TABLE noc_region (
id integer,
noc text,
region_name text,
PRIMARY KEY (id),
);
CREATE TABLE person (
id integer,
full_name text,
gender text,
height integer,
weight integer,
PRIMARY KEY (id),
);
CREATE TABLE games_competitor (
id integer,
games_id integer,
person_id integer,
age integer,
PRIMARY KEY (id),
FOREIGN KEY (games_id) REFERENCES games(id),
FOREIGN KEY (person_id) REFERENCES person(id),
);
CREATE TABLE person_region (
person_id integer,
region_id integer,
FOREIGN KEY (person_id) REFERENCES person(id),
FOREIGN KEY (region_id) REFERENCES noc_region(id),
);
CREATE TABLE sport (
id integer,
sport_name text,
PRIMARY KEY (id),
);
CREATE TABLE event (
id integer,
sport_id integer,
event_name text,
PRIMARY KEY (id),
FOREIGN KEY (sport_id) REFERENCES sport(id),
);
CREATE TABLE competitor_event (
event_id integer,
competitor_id integer,
medal_id integer,
FOREIGN KEY (event_id) REFERENCES event(id),
FOREIGN KEY (competitor_id) REFERENCES games_competitor(id),
FOREIGN KEY (medal_id) REFERENCES medal(id),
);
---------------------
QUESTION: How many 20 years old athletes were there in the 1984 Summer Olympic Games? 20 years old athletes refer to person_id where age = 20; 1984 Summer Olympic Games refer to games_name = '1984 Summer';"
