db_id,train_example
california_schools,"Based on the database schema below and the question, create a SQL query that will return the desired result:
DATABASE SCHEMA
---------------------
CREATE TABLE frpm (
column_0 text,
column_1 text,
column_2 text,
column_3 integer,
column_4 text,
column_5 text,
column_6 text,
column_7 text,
column_8 text,
column_9 text,
column_10 text,
column_11 text,
column_12 integer,
column_13 text,
column_14 text,
column_15 integer,
column_16 text,
column_17 text,
column_18 real,
column_19 real,
column_20 real,
column_21 real,
column_22 real,
column_23 real,
column_24 real,
column_25 real,
column_26 real,
column_27 real,
column_28 integer,
PRIMARY KEY (column_0),
FOREIGN KEY (column_0) REFERENCES schools(column_0),
);
CREATE TABLE satscores (
column_0 text,
column_1 text,
column_2 text,
column_3 text,
column_4 text,
column_5 integer,
column_6 integer,
column_7 integer,
column_8 integer,
column_9 integer,
column_10 integer,
PRIMARY KEY (column_0),
FOREIGN KEY (column_0) REFERENCES schools(column_0),
);
CREATE TABLE schools (
column_0 text,
column_1 text,
column_2 text,
column_3 text,
column_4 text,
column_5 text,
column_6 text,
column_7 text,
column_8 text,
column_9 text,
column_10 text,
column_11 text,
column_12 text,
column_13 text,
column_14 text,
column_15 text,
column_16 text,
column_17 text,
column_18 text,
column_19 text,
column_20 date,
column_21 date,
column_22 integer,
column_23 text,
column_24 text,
column_25 text,
column_26 text,
column_27 text,
column_28 text,
column_29 text,
column_30 text,
column_31 text,
column_32 text,
column_33 text,
column_34 text,
column_35 text,
column_36 integer,
column_37 real,
column_38 real,
column_39 text,
column_40 text,
column_41 text,
column_42 text,
column_43 text,
column_44 text,
column_45 text,
column_46 text,
column_47 text,
column_48 date,
PRIMARY KEY (column_0),
);
---------------------
QUESTION: What is the highest eligible free rate for K-12 students in the schools in Alameda County? 

"
california_schools,"Based on the database schema below and the question, create a SQL query that will return the desired result:
DATABASE SCHEMA
---------------------
CREATE TABLE frpm (
column_0 text,
column_1 text,
column_2 text,
column_3 integer,
column_4 text,
column_5 text,
column_6 text,
column_7 text,
column_8 text,
column_9 text,
column_10 text,
column_11 text,
column_12 integer,
column_13 text,
column_14 text,
column_15 integer,
column_16 text,
column_17 text,
column_18 real,
column_19 real,
column_20 real,
column_21 real,
column_22 real,
column_23 real,
column_24 real,
column_25 real,
column_26 real,
column_27 real,
column_28 integer,
PRIMARY KEY (column_0),
FOREIGN KEY (column_0) REFERENCES schools(column_0),
);
CREATE TABLE satscores (
column_0 text,
column_1 text,
column_2 text,
column_3 text,
column_4 text,
column_5 integer,
column_6 integer,
column_7 integer,
column_8 integer,
column_9 integer,
column_10 integer,
PRIMARY KEY (column_0),
FOREIGN KEY (column_0) REFERENCES schools(column_0),
);
CREATE TABLE schools (
column_0 text,
column_1 text,
column_2 text,
column_3 text,
column_4 text,
column_5 text,
column_6 text,
column_7 text,
column_8 text,
column_9 text,
column_10 text,
column_11 text,
column_12 text,
column_13 text,
column_14 text,
column_15 text,
column_16 text,
column_17 text,
column_18 text,
column_19 text,
column_20 date,
column_21 date,
column_22 integer,
column_23 text,
column_24 text,
column_25 text,
column_26 text,
column_27 text,
column_28 text,
column_29 text,
column_30 text,
column_31 text,
column_32 text,
column_33 text,
column_34 text,
column_35 text,
column_36 integer,
column_37 real,
column_38 real,
column_39 text,
column_40 text,
column_41 text,
column_42 text,
column_43 text,
column_44 text,
column_45 text,
column_46 text,
column_47 text,
column_48 date,
PRIMARY KEY (column_0),
);
---------------------
QUESTION: Please list the lowest three eligible free rates for students aged 5-17 in continuation schools. 

"
california_schools,"Based on the database schema below and the question, create a SQL query that will return the desired result:
DATABASE SCHEMA
---------------------
CREATE TABLE frpm (
column_0 text,
column_1 text,
column_2 text,
column_3 integer,
column_4 text,
column_5 text,
column_6 text,
column_7 text,
column_8 text,
column_9 text,
column_10 text,
column_11 text,
column_12 integer,
column_13 text,
column_14 text,
column_15 integer,
column_16 text,
column_17 text,
column_18 real,
column_19 real,
column_20 real,
column_21 real,
column_22 real,
column_23 real,
column_24 real,
column_25 real,
column_26 real,
column_27 real,
column_28 integer,
PRIMARY KEY (column_0),
FOREIGN KEY (column_0) REFERENCES schools(column_0),
);
CREATE TABLE satscores (
column_0 text,
column_1 text,
column_2 text,
column_3 text,
column_4 text,
column_5 integer,
column_6 integer,
column_7 integer,
column_8 integer,
column_9 integer,
column_10 integer,
PRIMARY KEY (column_0),
FOREIGN KEY (column_0) REFERENCES schools(column_0),
);
CREATE TABLE schools (
column_0 text,
column_1 text,
column_2 text,
column_3 text,
column_4 text,
column_5 text,
column_6 text,
column_7 text,
column_8 text,
column_9 text,
column_10 text,
column_11 text,
column_12 text,
column_13 text,
column_14 text,
column_15 text,
column_16 text,
column_17 text,
column_18 text,
column_19 text,
column_20 date,
column_21 date,
column_22 integer,
column_23 text,
column_24 text,
column_25 text,
column_26 text,
column_27 text,
column_28 text,
column_29 text,
column_30 text,
column_31 text,
column_32 text,
column_33 text,
column_34 text,
column_35 text,
column_36 integer,
column_37 real,
column_38 real,
column_39 text,
column_40 text,
column_41 text,
column_42 text,
column_43 text,
column_44 text,
column_45 text,
column_46 text,
column_47 text,
column_48 date,
PRIMARY KEY (column_0),
);
---------------------
QUESTION: Please list the zip code of all the charter schools in Fresno County Office of Education. 

"
california_schools,"Based on the database schema below and the question, create a SQL query that will return the desired result:
DATABASE SCHEMA
---------------------
CREATE TABLE frpm (
column_0 text,
column_1 text,
column_2 text,
column_3 integer,
column_4 text,
column_5 text,
column_6 text,
column_7 text,
column_8 text,
column_9 text,
column_10 text,
column_11 text,
column_12 integer,
column_13 text,
column_14 text,
column_15 integer,
column_16 text,
column_17 text,
column_18 real,
column_19 real,
column_20 real,
column_21 real,
column_22 real,
column_23 real,
column_24 real,
column_25 real,
column_26 real,
column_27 real,
column_28 integer,
PRIMARY KEY (column_0),
FOREIGN KEY (column_0) REFERENCES schools(column_0),
);
CREATE TABLE satscores (
column_0 text,
column_1 text,
column_2 text,
column_3 text,
column_4 text,
column_5 integer,
column_6 integer,
column_7 integer,
column_8 integer,
column_9 integer,
column_10 integer,
PRIMARY KEY (column_0),
FOREIGN KEY (column_0) REFERENCES schools(column_0),
);
CREATE TABLE schools (
column_0 text,
column_1 text,
column_2 text,
column_3 text,
column_4 text,
column_5 text,
column_6 text,
column_7 text,
column_8 text,
column_9 text,
column_10 text,
column_11 text,
column_12 text,
column_13 text,
column_14 text,
column_15 text,
column_16 text,
column_17 text,
column_18 text,
column_19 text,
column_20 date,
column_21 date,
column_22 integer,
column_23 text,
column_24 text,
column_25 text,
column_26 text,
column_27 text,
column_28 text,
column_29 text,
column_30 text,
column_31 text,
column_32 text,
column_33 text,
column_34 text,
column_35 text,
column_36 integer,
column_37 real,
column_38 real,
column_39 text,
column_40 text,
column_41 text,
column_42 text,
column_43 text,
column_44 text,
column_45 text,
column_46 text,
column_47 text,
column_48 date,
PRIMARY KEY (column_0),
);
---------------------
QUESTION: What is the unabbreviated mailing address of the school with the highest FRPM count for K-12 students?

"
california_schools,"Based on the database schema below and the question, create a SQL query that will return the desired result:
DATABASE SCHEMA
---------------------
CREATE TABLE frpm (
column_0 text,
column_1 text,
column_2 text,
column_3 integer,
column_4 text,
column_5 text,
column_6 text,
column_7 text,
column_8 text,
column_9 text,
column_10 text,
column_11 text,
column_12 integer,
column_13 text,
column_14 text,
column_15 integer,
column_16 text,
column_17 text,
column_18 real,
column_19 real,
column_20 real,
column_21 real,
column_22 real,
column_23 real,
column_24 real,
column_25 real,
column_26 real,
column_27 real,
column_28 integer,
PRIMARY KEY (column_0),
FOREIGN KEY (column_0) REFERENCES schools(column_0),
);
CREATE TABLE satscores (
column_0 text,
column_1 text,
column_2 text,
column_3 text,
column_4 text,
column_5 integer,
column_6 integer,
column_7 integer,
column_8 integer,
column_9 integer,
column_10 integer,
PRIMARY KEY (column_0),
FOREIGN KEY (column_0) REFERENCES schools(column_0),
);
CREATE TABLE schools (
column_0 text,
column_1 text,
column_2 text,
column_3 text,
column_4 text,
column_5 text,
column_6 text,
column_7 text,
column_8 text,
column_9 text,
column_10 text,
column_11 text,
column_12 text,
column_13 text,
column_14 text,
column_15 text,
column_16 text,
column_17 text,
column_18 text,
column_19 text,
column_20 date,
column_21 date,
column_22 integer,
column_23 text,
column_24 text,
column_25 text,
column_26 text,
column_27 text,
column_28 text,
column_29 text,
column_30 text,
column_31 text,
column_32 text,
column_33 text,
column_34 text,
column_35 text,
column_36 integer,
column_37 real,
column_38 real,
column_39 text,
column_40 text,
column_41 text,
column_42 text,
column_43 text,
column_44 text,
column_45 text,
column_46 text,
column_47 text,
column_48 date,
PRIMARY KEY (column_0),
);
---------------------
QUESTION: Please list the phone numbers of the direct charter-funded schools that are opened after 2000/1/1. 

"
california_schools,"Based on the database schema below and the question, create a SQL query that will return the desired result:
DATABASE SCHEMA
---------------------
CREATE TABLE frpm (
column_0 text,
column_1 text,
column_2 text,
column_3 integer,
column_4 text,
column_5 text,
column_6 text,
column_7 text,
column_8 text,
column_9 text,
column_10 text,
column_11 text,
column_12 integer,
column_13 text,
column_14 text,
column_15 integer,
column_16 text,
column_17 text,
column_18 real,
column_19 real,
column_20 real,
column_21 real,
column_22 real,
column_23 real,
column_24 real,
column_25 real,
column_26 real,
column_27 real,
column_28 integer,
PRIMARY KEY (column_0),
FOREIGN KEY (column_0) REFERENCES schools(column_0),
);
CREATE TABLE satscores (
column_0 text,
column_1 text,
column_2 text,
column_3 text,
column_4 text,
column_5 integer,
column_6 integer,
column_7 integer,
column_8 integer,
column_9 integer,
column_10 integer,
PRIMARY KEY (column_0),
FOREIGN KEY (column_0) REFERENCES schools(column_0),
);
CREATE TABLE schools (
column_0 text,
column_1 text,
column_2 text,
column_3 text,
column_4 text,
column_5 text,
column_6 text,
column_7 text,
column_8 text,
column_9 text,
column_10 text,
column_11 text,
column_12 text,
column_13 text,
column_14 text,
column_15 text,
column_16 text,
column_17 text,
column_18 text,
column_19 text,
column_20 date,
column_21 date,
column_22 integer,
column_23 text,
column_24 text,
column_25 text,
column_26 text,
column_27 text,
column_28 text,
column_29 text,
column_30 text,
column_31 text,
column_32 text,
column_33 text,
column_34 text,
column_35 text,
column_36 integer,
column_37 real,
column_38 real,
column_39 text,
column_40 text,
column_41 text,
column_42 text,
column_43 text,
column_44 text,
column_45 text,
column_46 text,
column_47 text,
column_48 date,
PRIMARY KEY (column_0),
);
---------------------
QUESTION: How many schools with an average score in Math under 400 in the SAT test are exclusively virtual? 

"
california_schools,"Based on the database schema below and the question, create a SQL query that will return the desired result:
DATABASE SCHEMA
---------------------
CREATE TABLE frpm (
column_0 text,
column_1 text,
column_2 text,
column_3 integer,
column_4 text,
column_5 text,
column_6 text,
column_7 text,
column_8 text,
column_9 text,
column_10 text,
column_11 text,
column_12 integer,
column_13 text,
column_14 text,
column_15 integer,
column_16 text,
column_17 text,
column_18 real,
column_19 real,
column_20 real,
column_21 real,
column_22 real,
column_23 real,
column_24 real,
column_25 real,
column_26 real,
column_27 real,
column_28 integer,
PRIMARY KEY (column_0),
FOREIGN KEY (column_0) REFERENCES schools(column_0),
);
CREATE TABLE satscores (
column_0 text,
column_1 text,
column_2 text,
column_3 text,
column_4 text,
column_5 integer,
column_6 integer,
column_7 integer,
column_8 integer,
column_9 integer,
column_10 integer,
PRIMARY KEY (column_0),
FOREIGN KEY (column_0) REFERENCES schools(column_0),
);
CREATE TABLE schools (
column_0 text,
column_1 text,
column_2 text,
column_3 text,
column_4 text,
column_5 text,
column_6 text,
column_7 text,
column_8 text,
column_9 text,
column_10 text,
column_11 text,
column_12 text,
column_13 text,
column_14 text,
column_15 text,
column_16 text,
column_17 text,
column_18 text,
column_19 text,
column_20 date,
column_21 date,
column_22 integer,
column_23 text,
column_24 text,
column_25 text,
column_26 text,
column_27 text,
column_28 text,
column_29 text,
column_30 text,
column_31 text,
column_32 text,
column_33 text,
column_34 text,
column_35 text,
column_36 integer,
column_37 real,
column_38 real,
column_39 text,
column_40 text,
column_41 text,
column_42 text,
column_43 text,
column_44 text,
column_45 text,
column_46 text,
column_47 text,
column_48 date,
PRIMARY KEY (column_0),
);
---------------------
QUESTION: Among the schools with the SAT test takers of over 500, please list the schools that are magnet schools or offer a magnet program. 

"
california_schools,"Based on the database schema below and the question, create a SQL query that will return the desired result:
DATABASE SCHEMA
---------------------
CREATE TABLE frpm (
column_0 text,
column_1 text,
column_2 text,
column_3 integer,
column_4 text,
column_5 text,
column_6 text,
column_7 text,
column_8 text,
column_9 text,
column_10 text,
column_11 text,
column_12 integer,
column_13 text,
column_14 text,
column_15 integer,
column_16 text,
column_17 text,
column_18 real,
column_19 real,
column_20 real,
column_21 real,
column_22 real,
column_23 real,
column_24 real,
column_25 real,
column_26 real,
column_27 real,
column_28 integer,
PRIMARY KEY (column_0),
FOREIGN KEY (column_0) REFERENCES schools(column_0),
);
CREATE TABLE satscores (
column_0 text,
column_1 text,
column_2 text,
column_3 text,
column_4 text,
column_5 integer,
column_6 integer,
column_7 integer,
column_8 integer,
column_9 integer,
column_10 integer,
PRIMARY KEY (column_0),
FOREIGN KEY (column_0) REFERENCES schools(column_0),
);
CREATE TABLE schools (
column_0 text,
column_1 text,
column_2 text,
column_3 text,
column_4 text,
column_5 text,
column_6 text,
column_7 text,
column_8 text,
column_9 text,
column_10 text,
column_11 text,
column_12 text,
column_13 text,
column_14 text,
column_15 text,
column_16 text,
column_17 text,
column_18 text,
column_19 text,
column_20 date,
column_21 date,
column_22 integer,
column_23 text,
column_24 text,
column_25 text,
column_26 text,
column_27 text,
column_28 text,
column_29 text,
column_30 text,
column_31 text,
column_32 text,
column_33 text,
column_34 text,
column_35 text,
column_36 integer,
column_37 real,
column_38 real,
column_39 text,
column_40 text,
column_41 text,
column_42 text,
column_43 text,
column_44 text,
column_45 text,
column_46 text,
column_47 text,
column_48 date,
PRIMARY KEY (column_0),
);
---------------------
QUESTION: What is the phone number of the school that has the highest number of test takers with an SAT score of over 1500?

"
california_schools,"Based on the database schema below and the question, create a SQL query that will return the desired result:
DATABASE SCHEMA
---------------------
CREATE TABLE frpm (
column_0 text,
column_1 text,
column_2 text,
column_3 integer,
column_4 text,
column_5 text,
column_6 text,
column_7 text,
column_8 text,
column_9 text,
column_10 text,
column_11 text,
column_12 integer,
column_13 text,
column_14 text,
column_15 integer,
column_16 text,
column_17 text,
column_18 real,
column_19 real,
column_20 real,
column_21 real,
column_22 real,
column_23 real,
column_24 real,
column_25 real,
column_26 real,
column_27 real,
column_28 integer,
PRIMARY KEY (column_0),
FOREIGN KEY (column_0) REFERENCES schools(column_0),
);
CREATE TABLE satscores (
column_0 text,
column_1 text,
column_2 text,
column_3 text,
column_4 text,
column_5 integer,
column_6 integer,
column_7 integer,
column_8 integer,
column_9 integer,
column_10 integer,
PRIMARY KEY (column_0),
FOREIGN KEY (column_0) REFERENCES schools(column_0),
);
CREATE TABLE schools (
column_0 text,
column_1 text,
column_2 text,
column_3 text,
column_4 text,
column_5 text,
column_6 text,
column_7 text,
column_8 text,
column_9 text,
column_10 text,
column_11 text,
column_12 text,
column_13 text,
column_14 text,
column_15 text,
column_16 text,
column_17 text,
column_18 text,
column_19 text,
column_20 date,
column_21 date,
column_22 integer,
column_23 text,
column_24 text,
column_25 text,
column_26 text,
column_27 text,
column_28 text,
column_29 text,
column_30 text,
column_31 text,
column_32 text,
column_33 text,
column_34 text,
column_35 text,
column_36 integer,
column_37 real,
column_38 real,
column_39 text,
column_40 text,
column_41 text,
column_42 text,
column_43 text,
column_44 text,
column_45 text,
column_46 text,
column_47 text,
column_48 date,
PRIMARY KEY (column_0),
);
---------------------
QUESTION: What is the number of SAT test takers of the schools with the highest FRPM count for K-12 students?

"
california_schools,"Based on the database schema below and the question, create a SQL query that will return the desired result:
DATABASE SCHEMA
---------------------
CREATE TABLE frpm (
column_0 text,
column_1 text,
column_2 text,
column_3 integer,
column_4 text,
column_5 text,
column_6 text,
column_7 text,
column_8 text,
column_9 text,
column_10 text,
column_11 text,
column_12 integer,
column_13 text,
column_14 text,
column_15 integer,
column_16 text,
column_17 text,
column_18 real,
column_19 real,
column_20 real,
column_21 real,
column_22 real,
column_23 real,
column_24 real,
column_25 real,
column_26 real,
column_27 real,
column_28 integer,
PRIMARY KEY (column_0),
FOREIGN KEY (column_0) REFERENCES schools(column_0),
);
CREATE TABLE satscores (
column_0 text,
column_1 text,
column_2 text,
column_3 text,
column_4 text,
column_5 integer,
column_6 integer,
column_7 integer,
column_8 integer,
column_9 integer,
column_10 integer,
PRIMARY KEY (column_0),
FOREIGN KEY (column_0) REFERENCES schools(column_0),
);
CREATE TABLE schools (
column_0 text,
column_1 text,
column_2 text,
column_3 text,
column_4 text,
column_5 text,
column_6 text,
column_7 text,
column_8 text,
column_9 text,
column_10 text,
column_11 text,
column_12 text,
column_13 text,
column_14 text,
column_15 text,
column_16 text,
column_17 text,
column_18 text,
column_19 text,
column_20 date,
column_21 date,
column_22 integer,
column_23 text,
column_24 text,
column_25 text,
column_26 text,
column_27 text,
column_28 text,
column_29 text,
column_30 text,
column_31 text,
column_32 text,
column_33 text,
column_34 text,
column_35 text,
column_36 integer,
column_37 real,
column_38 real,
column_39 text,
column_40 text,
column_41 text,
column_42 text,
column_43 text,
column_44 text,
column_45 text,
column_46 text,
column_47 text,
column_48 date,
PRIMARY KEY (column_0),
);
---------------------
QUESTION: Among the schools with the average score in Math over 560 in the SAT test, how many schools are directly charter-funded?

"
